Index,Variant,"Major area, region, country or area",Notes,Country code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,Estimates,WORLD,,900,2525778.669,2572850.917,2619292.068,2665865.392,2713172.027,2761650.981,2811572.031,2863042.795,2916030.167,2970395.814,3026002.942,3082830.266,3141071.531,3201178.277,3263738.832,3329122.479,3397475.247,3468521.724,3541674.891,3616108.749,3691172.616,3766754.345,3842873.611,3919182.332,3995304.922,4071020.434,4146135.85,4220816.737,4295664.825,4371527.871,4449048.798,4528234.634,4608962.418,4691559.84,4776392.828,4863601.517,4953376.71,5045315.871,5138214.688,5230452.409,5320816.667,5408908.724,5494899.57,5578865.109,5661086.346,5741822.412,5821016.75,5898688.337,5975303.657,6051478.01,6127700.428,6204147.026,6280853.817,6357991.749,6435705.595,6514094.605,6593227.977,6673105.937,6753649.228,6834721.933,6916183.482
2,Estimates,More developed regions,a,901,812943.056,822492.198,832461.568,842682.522,853024.601,863395.541,873743.157,884053.455,894345.009,904659.596,915033.991,925470.062,935908.398,946217.117,956223.729,965808.962,974908.533,983564.144,991893.891,1000073.806,1008230.08,1016406.87,1024561.171,1032628.088,1040506.327,1048126.453,1055475.118,1062591.445,1069521.692,1076333.011,1083077.411,1089753.56,1096353.845,1102914.656,1109478.975,1116068.448,1122706.776,1129361.922,1135930.172,1142269.952,1148278.357,1153933.797,1159264.292,1164280.481,1169009.565,1173483.744,1177703.784,1181697.164,1185559.383,1189413.16,1193354.621,1197397.151,1201539.998,1205842.402,1210368.88,1215149.269,1220229.046,1225556.734,1230943.469,1236131.481,1240934.721
3,Estimates,Less developed regions,b,902,1712835.613,1750358.719,1786830.5,1823182.87,1860147.426,1898255.44,1937828.874,1978989.34,2021685.158,2065736.218,2110968.951,2157360.204,2205163.133,2254961.16,2307515.103,2363313.517,2422566.714,2484957.58,2549781,2616034.943,2682942.536,2750347.475,2818312.44,2886554.244,2954798.595,3022893.981,3090660.732,3158225.292,3226143.133,3295194.86,3365971.387,3438481.074,3512608.573,3588645.184,3666913.853,3747533.069,3830669.934,3915953.949,4002284.516,4088182.457,4172538.31,4254974.927,4335635.278,4414584.628,4492076.781,4568338.668,4643312.966,4716991.173,4789744.274,4862064.85,4934345.807,5006749.875,5079313.819,5152149.347,5225336.715,5298945.336,5372998.931,5447549.203,5522705.759,5598590.452,5675248.761
4,Estimates,Least developed countries,c,941,195229.037,199136.681,203082.925,207139.55,211362.09,215789.766,220444.848,225333.31,230446.953,235766.843,241273.851,246959.735,252836.938,258942.779,265327.602,272019.846,279051.931,286394.182,293938.448,301536.255,309087.953,316551.725,323979.01,331478.735,339208.548,347285.944,355752.902,364587.436,373766.627,383244.116,392989.863,403013.988,413347.4,424005.277,435006.634,446371.3,458079.337,470141.442,482641.863,495691.03,509353.982,523678.76,538604.623,553953.822,569480.858,585009.814,600468.596,615907.416,631422.61,647167.191,663251.471,679712.597,696511.302,713592.988,730873.271,748299.377,765849.102,783568.015,801552.24,819933.939,838806.838
5,Estimates,"Less developed regions, excluding least developed countries",d,934,1517606.576,1551222.038,1583747.575,1616043.32,1648785.336,1682465.674,1717384.026,1753656.03,1791238.205,1829969.375,1869695.1,1910400.469,1952326.195,1996018.381,2042187.501,2091293.671,2143514.783,2198563.398,2255842.552,2314498.688,2373854.583,2433795.75,2494333.43,2555075.509,2615590.047,2675608.037,2734907.83,2793637.856,2852376.506,2911950.744,2972981.524,3035467.086,3099261.173,3164639.907,3231907.219,3301161.769,3372590.597,3445812.507,3519642.653,3592491.427,3663184.328,3731296.167,3797030.655,3860630.806,3922595.923,3983328.854,4042844.37,4101083.757,4158321.664,4214897.659,4271094.336,4327037.278,4382802.517,4438556.359,4494463.444,4550645.959,4607149.829,4663981.188,4721153.519,4778656.513,4836441.923
6,Estimates,"Less developed regions, excluding China",,948,1159327.19,1181500.949,1205284.735,1230623.437,1257460.178,1285736.308,1315391.073,1346361.918,1378585.598,1411999.793,1446548.313,1482186.585,1518886.43,1556638.126,1595444.593,1635304.235,1676220.404,1718174.671,1761122.1,1805006.113,1849796.531,1895471.746,1942072.117,1989707.068,2038525.865,2088639.92,2140059.664,2192762.027,2246779.069,2302140.007,2358846.045,2416874.345,2476156.513,2536581.966,2598008.109,2660297.32,2723392.05,2787202.779,2851519.178,2916091.016,2980723.22,3045319.462,3109859.675,3174326.642,3238736.859,3303108.561,3367416.058,3431652.373,3495885.981,3560213.786,3624714.572,3689427.973,3754365.029,3819543.794,3884974.514,3950675.854,4016621.609,4082844.655,4149487.299,4216734.715,4284697.309
7,Estimates,Sub-Saharan Africa,e,947,179494.727,182830.8,186341.291,190023.476,193876.486,197901.305,202100.854,206479.902,211044.831,215803.163,220762.384,225928.507,231304.956,236892.027,242688.341,248695.022,254916.756,261362.376,268042.63,274970.366,282157.518,289609.591,297333.553,305344.391,313659.349,322291.56,331249.881,340535.538,350144.176,360067.075,370298.305,380834.204,391678.527,402840.895,414334.535,426166.735,438344.251,450858.132,463680.923,476775.187,490114.937,503697.315,517534.164,531633.485,546008.68,560674.885,575643.519,590929.882,606559.924,622564.549,638973.801,655800.825,673067.059,690820.658,709118.675,728004.188,747492.934,767583.83,788279.575,809575.839,831463.689
8,Estimates,AFRICA,,903,228826.701,233363.963,238148.029,243179.984,248460.115,253987.898,259761.928,265779.98,272039.268,278536.742,285270.283,292239.805,299448.338,306902.447,314610.993,322581.411,330824.68,339344.402,348132.865,357177.589,366474.876,376023.683,385844.196,395980.141,406488.628,417412.997,428768.173,440551.017,452763.533,465401.494,478459.469,491936.867,505830.184,520125.247,534803.229,549845.785,565243.912,580985.13,597042.767,613385.342,629986.978,646850.063,663970.917,681313.098,698832.104,716505.13,734327.272,752335.507,770603.833,789232.248,808304.337,827848.324,847881.899,868465.269,889664.123,911527.669,934078.578,957318.065,981242.742,1005837.615,1031083.666
9,Estimates,Eastern Africa,,910,67033.005,68478.822,69976.584,71531.315,73147.882,74830.989,76585.193,78414.877,80324.254,82317.321,84397.777,86568.913,88833.543,91193.946,93651.999,96209.445,98869.53,101634.317,104502.943,107473.429,110545.316,113718.341,116996.249,120387.355,123902.45,127549.326,131334.887,135258.256,139310.199,143476.829,147749.96,152113.893,156574.928,161172.028,165958.842,170966.923,176234.552,181734.198,187353.532,192937.635,198386.046,203642.756,208770.038,213930.017,219351.663,225197.305,231534.007,238307.348,245410.665,252680.278,260000.666,267346.093,274767.36,282317.492,290078.065,298111.682,306423.106,315000.852,323871.553,333064.314,342595.134
10,Estimates,Burundi,,108,2308.923,2359.234,2403.777,2445.836,2487.929,2531.8,2578.393,2627.88,2679.765,2733.05,2786.74,2840.375,2894.51,2950.903,3011.957,3079.034,3153.879,3235.125,3317.315,3392.949,3457.113,3507.593,3547.335,3582.95,3623.852,3676.991,3744.678,3825.426,3917.774,4018.846,4126.538,4239.795,4359.379,4486.938,4624.85,4774.155,4935.642,5106.707,5280.833,5449.339,5605.873,5749.774,5882.679,6003.704,6112.449,6209.923,6294.482,6369.573,6447.672,6545.273,6674.286,6839.376,7037.727,7264.34,7510.771,7770.392,8042.579,8328.312,8624.28,8926.687,9232.753
