countryCode,year,population
900,1950,2525779
900,1951,2572851
900,1952,2619292
900,1953,2665865
900,1954,2713172
900,1955,2761651
900,1956,2811572
900,1957,2863043
900,1958,2916030
900,1959,2970396
900,1960,3026003
900,1961,3082830
900,1962,3141072
900,1963,3201178
900,1964,3263739
900,1965,3329122
900,1966,3397475
900,1967,3468522
900,1968,3541675
900,1969,3616109
900,1970,3691173
900,1971,3766754
900,1972,3842874
900,1973,3919182
900,1974,3995305
900,1975,4071020
900,1976,4146136
900,1977,4220817
900,1978,4295665
900,1979,4371528
900,1980,4449049
900,1981,4528235
900,1982,4608962
900,1983,4691560
900,1984,4776393
900,1985,4863602
900,1986,4953377
900,1987,5045316
900,1988,5138215
900,1989,5230452
900,1990,5320817
900,1991,5408909
900,1992,5494900
900,1993,5578865
900,1994,5661086
900,1995,5741822
900,1996,5821017
900,1997,5898688
900,1998,5975304
900,1999,6051478
900,2000,6127700
900,2001,6204147
900,2002,6280854
900,2003,6357992
900,2004,6435706
900,2005,6514095
900,2006,6593228
900,2007,6673106
900,2008,6753649
900,2009,6834722
900,2010,6916183
901,1950,812943
901,1951,822492
901,1952,832462
901,1953,842683
901,1954,853025
901,1955,863396
901,1956,873743
901,1957,884053
901,1958,894345
901,1959,904660
901,1960,915034
901,1961,925470
901,1962,935908
901,1963,946217
901,1964,956224
901,1965,965809
901,1966,974909
901,1967,983564
901,1968,991894
901,1969,1000074
901,1970,1008230
901,1971,1016407
901,1972,1024561
901,1973,1032628
901,1974,1040506
901,1975,1048126
901,1976,1055475
901,1977,1062591
901,1978,1069522
901,1979,1076333
901,1980,1083077
901,1981,1089754
901,1982,1096354
901,1983,1102915
901,1984,1109479
901,1985,1116068
901,1986,1122707
901,1987,1129362
901,1988,1135930
901,1989,1142270
901,1990,1148278
901,1991,1153934
901,1992,1159264
901,1993,1164280
901,1994,1169010
901,1995,1173484
901,1996,1177704
901,1997,1181697
901,1998,1185559
901,1999,1189413
901,2000,1193355
901,2001,1197397
901,2002,1201540
901,2003,1205842
901,2004,1210369
901,2005,1215149
901,2006,1220229
901,2007,1225557
901,2008,1230943
901,2009,1236131
901,2010,1240935
902,1950,1712836
902,1951,1750359
902,1952,1786831
902,1953,1823183
902,1954,1860147
902,1955,1898255
902,1956,1937829
902,1957,1978989
902,1958,2021685
902,1959,2065736
902,1960,2110969
902,1961,2157360
902,1962,2205163
902,1963,2254961
902,1964,2307515
902,1965,2363314
902,1966,2422567
902,1967,2484958
902,1968,2549781
902,1969,2616035
902,1970,2682943
902,1971,2750347
902,1972,2818312
902,1973,2886554
902,1974,2954799
902,1975,3022894
902,1976,3090661
902,1977,3158225
902,1978,3226143
902,1979,3295195
902,1980,3365971
902,1981,3438481
902,1982,3512609
902,1983,3588645
902,1984,3666914
902,1985,3747533
902,1986,3830670
902,1987,3915954
902,1988,4002285
902,1989,4088182
902,1990,4172538
902,1991,4254975
902,1992,4335635
902,1993,4414585
902,1994,4492077
902,1995,4568339
902,1996,4643313
902,1997,4716991
902,1998,4789744
902,1999,4862065
902,2000,4934346
902,2001,5006750
902,2002,5079314
902,2003,5152149
902,2004,5225337
902,2005,5298945
902,2006,5372999
902,2007,5447549
902,2008,5522706
902,2009,5598590
902,2010,5675249
941,1950,195229
941,1951,199137
941,1952,203083
941,1953,207140
941,1954,211362
941,1955,215790
941,1956,220445
941,1957,225333
941,1958,230447
941,1959,235767
941,1960,241274
941,1961,246960
941,1962,252837
941,1963,258943
941,1964,265328
941,1965,272020
941,1966,279052
941,1967,286394
941,1968,293938
941,1969,301536
941,1970,309088
941,1971,316552
941,1972,323979
941,1973,331479
941,1974,339209
941,1975,347286
941,1976,355753
941,1977,364587
941,1978,373767
941,1979,383244
941,1980,392990
941,1981,403014
941,1982,413347
941,1983,424005
941,1984,435007
941,1985,446371
941,1986,458079
941,1987,470141
941,1988,482642
941,1989,495691
941,1990,509354
941,1991,523679
941,1992,538605
941,1993,553954
941,1994,569481
941,1995,585010
941,1996,600469
941,1997,615907
941,1998,631423
941,1999,647167
941,2000,663251
941,2001,679713
941,2002,696511
941,2003,713593
941,2004,730873
941,2005,748299
941,2006,765849
941,2007,783568
941,2008,801552
941,2009,819934
941,2010,838807
934,1950,1517607
934,1951,1551222
934,1952,1583748
934,1953,1616043
934,1954,1648785
934,1955,1682466
934,1956,1717384
934,1957,1753656
934,1958,1791238
934,1959,1829969
934,1960,1869695
934,1961,1910400
934,1962,1952326
934,1963,1996018
934,1964,2042188
934,1965,2091294
934,1966,2143515
934,1967,2198563
934,1968,2255843
934,1969,2314499
934,1970,2373855
934,1971,2433796
934,1972,2494333
934,1973,2555076
934,1974,2615590
934,1975,2675608
934,1976,2734908
934,1977,2793638
934,1978,2852377
934,1979,2911951
934,1980,2972982
934,1981,3035467
934,1982,3099261
934,1983,3164640
934,1984,3231907
934,1985,3301162
934,1986,3372591
934,1987,3445813
934,1988,3519643
934,1989,3592491
934,1990,3663184
934,1991,3731296
934,1992,3797031
934,1993,3860631
934,1994,3922596
934,1995,3983329
934,1996,4042844
934,1997,4101084
934,1998,4158322
934,1999,4214898
934,2000,4271094
934,2001,4327037
934,2002,4382803
934,2003,4438556
934,2004,4494463
934,2005,4550646
934,2006,4607150
934,2007,4663981
934,2008,4721154
934,2009,4778657
934,2010,4836442
948,1950,1159327
948,1951,1181501
948,1952,1205285
948,1953,1230623
948,1954,1257460
948,1955,1285736
948,1956,1315391
948,1957,1346362
948,1958,1378586
948,1959,1412000
948,1960,1446548
948,1961,1482187
948,1962,1518886
948,1963,1556638
948,1964,1595445
948,1965,1635304
948,1966,1676220
948,1967,1718175
948,1968,1761122
948,1969,1805006
948,1970,1849797
948,1971,1895472
948,1972,1942072
948,1973,1989707
948,1974,2038526
948,1975,2088640
948,1976,2140060
948,1977,2192762
948,1978,2246779
948,1979,2302140
948,1980,2358846
948,1981,2416874
948,1982,2476157
948,1983,2536582
948,1984,2598008
948,1985,2660297
948,1986,2723392
948,1987,2787203
948,1988,2851519
948,1989,2916091
948,1990,2980723
948,1991,3045319
948,1992,3109860
948,1993,3174327
948,1994,3238737
948,1995,3303109
948,1996,3367416
948,1997,3431652
948,1998,3495886
948,1999,3560214
948,2000,3624715
948,2001,3689428
948,2002,3754365
